second,Volt,Volt
-9.9940E-03,+0.0E+00,+804.0E-06
-9.9840E-03,+0.0E+00,+643.2E-06
-9.9740E-03,+0.0E+00,+804.0E-06
-9.9640E-03,+8.0402E-03,+884.4E-06
-9.9540E-03,+8.0402E-03,+804.0E-06
-9.9440E-03,+16.0804E-03,+1.3668E-03
-9.9340E-03,+8.0402E-03,+1.6080E-03
-9.9240E-03,+16.0804E-03,+1.7688E-03
-9.9140E-03,+24.1206E-03,+2.0101E-03
-9.9040E-03,+24.1206E-03,+2.1709E-03
-9.8940E-03,+24.1206E-03,+2.3317E-03
-9.8840E-03,+32.1608E-03,+2.9749E-03
-9.8740E-03,+40.2010E-03,+2.6533E-03
-9.8640E-03,+32.1608E-03,+2.8945E-03
-9.8540E-03,+40.2010E-03,+2.9749E-03
-9.8440E-03,+40.2010E-03,+3.3769E-03
-9.8340E-03,+40.2010E-03,+3.6181E-03
-9.8240E-03,+48.2412E-03,+3.6985E-03
-9.8140E-03,+48.2412E-03,+3.6181E-03
-9.8040E-03,+48.2412E-03,+2.8945E-03
-9.7940E-03,+64.3216E-03,+3.1357E-03
-9.7840E-03,+64.3216E-03,+2.8945E-03
-9.7740E-03,+64.3216E-03,+3.2161E-03
-9.7640E-03,+64.3216E-03,+3.0553E-03
-9.7540E-03,+64.3216E-03,+2.7337E-03
-9.7440E-03,+72.3618E-03,+2.4925E-03
-9.7340E-03,+80.4020E-03,+2.3317E-03
-9.7240E-03,+80.4020E-03,+2.0905E-03
-9.7140E-03,+80.4020E-03,+1.7688E-03
-9.7040E-03,+88.4422E-03,+1.4472E-03
-9.6940E-03,+88.4422E-03,+1.1256E-03
-9.6840E-03,+88.4422E-03,+723.6E-06
-9.6740E-03,+96.4824E-03,+643.2E-06
-9.6640E-03,+96.4824E-03,+1.2060E-03
-9.6540E-03,+96.4824E-03,+884.4E-06
-9.6440E-03,+104.5226E-03,+964.8E-06
-9.6340E-03,+104.5226E-03,+643.2E-06
-9.6240E-03,+96.4824E-03,+562.8E-06
-9.6140E-03,+112.5628E-03,+321.6E-06
-9.6040E-03,+112.5628E-03,+643.2E-06
-9.5940E-03,+120.6030E-03,+321.6E-06
-9.5840E-03,+120.6030E-03,+321.6E-06
-9.5740E-03,+120.6030E-03,+402.0E-06
-9.5640E-03,+128.6432E-03,+402.0E-06
-9.5540E-03,+128.6432E-03,+402.0E-06
-9.5440E-03,+128.6432E-03,+562.8E-06
-9.5340E-03,+136.6834E-03,+321.6E-06
-9.5240E-03,+136.6834E-03,+0.0E+00
-9.5140E-03,+144.7236E-03,+0.0E+00
-9.5040E-03,+144.7236E-03,+482.4E-06
-9.4940E-03,+144.7236E-03,+160.8E-06
-9.4840E-03,+152.7638E-03,+241.2E-06
-9.4740E-03,+152.7638E-03,+160.8E-06
-9.4640E-03,+152.7638E-03,+80.4E-06
-9.4540E-03,+152.7638E-03,+241.2E-06
-9.4440E-03,+160.8040E-03,+562.8E-06
-9.4340E-03,+152.7638E-03,+0.0E+00
-9.4240E-03,+168.8442E-03,+160.8E-06
-9.4140E-03,+168.8442E-03,+160.8E-06
-9.4040E-03,+176.8844E-03,+0.0E+00
-9.3940E-03,+184.9246E-03,-160.8E-06
-9.3840E-03,+168.8442E-03,+241.2E-06
-9.3740E-03,+184.9246E-03,+402.0E-06
-9.3640E-03,+184.9246E-03,+241.2E-06
-9.3540E-03,+184.9246E-03,+321.6E-06
-9.3440E-03,+192.9648E-03,-80.4E-06
-9.3340E-03,+184.9246E-03,+80.4E-06
-9.3240E-03,+201.0050E-03,+321.6E-06
-9.3140E-03,+192.9648E-03,+80.4E-06
-9.3040E-03,+201.0050E-03,-80.4E-06
-9.2940E-03,+201.0050E-03,+80.4E-06
-9.2840E-03,+201.0050E-03,-241.2E-06
-9.2740E-03,+209.0452E-03,+160.8E-06
-9.2640E-03,+209.0452E-03,-0.0E+00
-9.2540E-03,+217.0854E-03,+0.0E+00
-9.2440E-03,+217.0854E-03,+160.8E-06
-9.2340E-03,+217.0854E-03,-241.2E-06
-9.2240E-03,+225.1256E-03,-0.0E+00
-9.2140E-03,+225.1256E-03,+80.4E-06
-9.2040E-03,+233.1658E-03,+80.4E-06
-9.1940E-03,+225.1256E-03,+321.6E-06
-9.1840E-03,+225.1256E-03,+0.0E+00
-9.1740E-03,+241.2060E-03,-0.0E+00
-9.1640E-03,+241.2060E-03,-321.6E-06
-9.1540E-03,+241.2060E-03,-160.8E-06
-9.1440E-03,+241.2060E-03,-241.2E-06
-9.1340E-03,+249.2462E-03,+160.8E-06
-9.1240E-03,+249.2462E-03,+241.2E-06
-9.1140E-03,+257.2864E-03,+0.0E+00
-9.1040E-03,+257.2864E-03,+80.4E-06
-9.0940E-03,+257.2864E-03,+80.4E-06
-9.0840E-03,+257.2864E-03,+160.8E-06
-9.0740E-03,+257.2864E-03,+160.8E-06
-9.0640E-03,+265.3266E-03,+241.2E-06
