second,Volt
+23.60000E-06,+2.41206028E-03
+23.65000E-06,+1.60804018E-03
+23.70000E-06,+2.31155776E-03
+23.75000E-06,+1.60804018E-03
+23.80000E-06,+1.60804018E-03
+23.85000E-06,+2.31155776E-03
+23.90000E-06,+2.41206028E-03
+23.95000E-06,+2.41206028E-03
+24.00000E-06,+2.41206028E-03
+24.05000E-06,+2.41206028E-03
+24.10000E-06,+2.51256279E-03
+24.15000E-06,+2.41206028E-03
+24.20000E-06,+2.51256279E-03
+24.25000E-06,+2.41206028E-03
+24.30000E-06,+2.41206028E-03
+24.35000E-06,+2.41206028E-03
+24.40000E-06,+1.60804018E-03
+24.45000E-06,+2.41206028E-03
+24.50000E-06,+2.41206028E-03
+24.55000E-06,+1.70854270E-03
+24.60000E-06,+2.41206028E-03
+24.65000E-06,+2.41206028E-03
+24.70000E-06,+2.41206028E-03
+24.75000E-06,+2.41206028E-03
+24.80000E-06,+2.41206028E-03
+24.85000E-06,+2.41206028E-03
+24.90000E-06,+2.41206028E-03
+24.95000E-06,+2.41206028E-03
+25.00000E-06,+2.41206028E-03
+25.05000E-06,+2.41206028E-03
+25.10000E-06,+2.41206028E-03
+25.15000E-06,+2.31155776E-03
+25.20000E-06,+1.60804018E-03
+25.25000E-06,+2.41206028E-03
+25.30000E-06,+2.41206028E-03
+25.35000E-06,+2.41206028E-03
+25.40000E-06,+2.41206028E-03
+25.45000E-06,+2.41206028E-03
+25.50000E-06,+3.11557786E-03
+25.55000E-06,+2.41206028E-03
+25.60000E-06,+2.41206028E-03
+25.65000E-06,+3.11557786E-03
+25.70000E-06,+2.41206028E-03
+25.75000E-06,+2.41206028E-03
+25.80000E-06,+2.41206028E-03
+25.85000E-06,+2.41206028E-03
+25.90000E-06,+2.41206028E-03
+25.95000E-06,+2.41206028E-03
+26.00000E-06,+1.60804018E-03
+26.05000E-06,+1.70854270E-03
+26.10000E-06,+2.41206028E-03
+26.15000E-06,+2.31155776E-03
+26.20000E-06,+1.60804018E-03
+26.25000E-06,+2.41206028E-03
+26.30000E-06,+2.41206028E-03
+26.35000E-06,+2.41206028E-03
+26.40000E-06,+2.41206028E-03
+26.45000E-06,+2.41206028E-03
+26.50000E-06,+2.41206028E-03
+26.55000E-06,+2.41206028E-03
+26.60000E-06,+2.41206028E-03
+26.65000E-06,+2.41206028E-03
+26.70000E-06,+2.41206028E-03
+26.75000E-06,+2.41206028E-03
+26.80000E-06,+2.41206028E-03
+26.85000E-06,+1.60804018E-03
